started_at,finished_at,duration_seconds,total_references,analyzed_items,relevant_items,error_count,domains,threshold,errors
2025-10-10T19:37:01.391871+00:00,2025-10-10T19:37:01.660114+00:00,0.2682,2,2,0,2,www.youtube.com; youtu.be,2,"Falha ao processar https://www.youtube.com/watch?v=QC9glJa1-c0: 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key not valid. Please pass a valid API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key not valid. Please pass a valid API key.'}]}}; Falha ao processar https://youtu.be/f9HwA5IR-sg?si=KrP0Ifz8kyX8e_fs: 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key not valid. Please pass a valid API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key not valid. Please pass a valid API key.'}]}}"
2025-10-10T19:37:35.788079+00:00,2025-10-10T19:37:35.829679+00:00,0.0416,2,2,0,2,www.youtube.com; youtu.be,2,"Falha ao processar https://www.youtube.com/watch?v=QC9glJa1-c0: 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key not valid. Please pass a valid API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key not valid. Please pass a valid API key.'}]}}; Falha ao processar https://youtu.be/f9HwA5IR-sg?si=KrP0Ifz8kyX8e_fs: 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key not valid. Please pass a valid API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key not valid. Please pass a valid API key.'}]}}"
2025-10-10T19:38:08.574901+00:00,2025-10-10T19:38:08.626002+00:00,0.0511,2,2,0,2,www.youtube.com; youtu.be,2,"Falha ao processar https://www.youtube.com/watch?v=QC9glJa1-c0: 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key not valid. Please pass a valid API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key not valid. Please pass a valid API key.'}]}}; Falha ao processar https://youtu.be/f9HwA5IR-sg?si=KrP0Ifz8kyX8e_fs: 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key not valid. Please pass a valid API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key not valid. Please pass a valid API key.'}]}}"
2025-10-10T19:38:59.555677+00:00,2025-10-10T19:38:59.597053+00:00,0.0414,2,2,0,2,www.youtube.com; youtu.be,2,"Falha ao processar https://www.youtube.com/watch?v=QC9glJa1-c0: 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key not valid. Please pass a valid API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key not valid. Please pass a valid API key.'}]}}; Falha ao processar https://youtu.be/f9HwA5IR-sg?si=KrP0Ifz8kyX8e_fs: 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key not valid. Please pass a valid API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key not valid. Please pass a valid API key.'}]}}"
2025-10-11T19:39:48.669452+00:00,2025-10-11T19:39:51.525410+00:00,2.856,8,8,8,0,link.springer.com; open.spotify.com; pca.st; philosophy.stackexchange.com; youtu.be,2,
2025-10-11T20:28:40.272759+00:00,2025-10-11T20:28:40.991843+00:00,0.7191,1,1,0,1,www.tudorondonia.com,2,"Falha ao processar https://www.tudorondonia.com/noticias/davi-reajuste-de-23-a-policiais-dos-ex-territorios-e-historico,148643.shtml: cannot access local variable 'safety_settings' where it is not associated with a value"
2025-10-11T20:29:21.600549+00:00,2025-10-11T20:29:21.613315+00:00,0.0128,1,1,0,1,www.tudorondonia.com,2,"Falha ao processar https://www.tudorondonia.com/noticias/davi-reajuste-de-23-a-policiais-dos-ex-territorios-e-historico,148643.shtml: cannot access local variable 'safety_settings' where it is not associated with a value"
2025-10-11T20:31:51.990803+00:00,2025-10-11T20:31:52.003301+00:00,0.0125,1,1,0,1,www.tudorondonia.com,2,"Falha ao processar https://www.tudorondonia.com/noticias/davi-reajuste-de-23-a-policiais-dos-ex-territorios-e-historico,148643.shtml: cannot access local variable 'safety_settings' where it is not associated with a value"
2025-10-11T21:26:12.451886+00:00,2025-10-11T21:26:12.463912+00:00,0.012,1,1,0,1,www.tudorondonia.com,2,"Falha ao processar https://www.tudorondonia.com/noticias/davi-reajuste-de-23-a-policiais-dos-ex-territorios-e-historico,148643.shtml: cannot access local variable 'safety_settings' where it is not associated with a value"
2025-10-11T21:31:14.941405+00:00,2025-10-11T21:31:16.037088+00:00,1.0957,1,1,1,0,www.tudorondonia.com,2,
2025-10-11T21:36:56.175333+00:00,2025-10-11T21:36:57.246402+00:00,1.0711,1,1,1,0,www.tudorondonia.com,2,
2025-10-11T21:45:17.567778+00:00,2025-10-11T21:45:17.724703+00:00,0.1569,2,2,2,0,www.youtube.com; youtu.be,2,
2025-10-11T21:47:35.748562+00:00,2025-10-11T21:47:37.065688+00:00,1.3171,4,4,4,0,amzn.to; gwern.net; www.youtube.com; x.com,2,
2025-10-11T21:58:24.793107+00:00,2025-10-11T21:58:24.816781+00:00,0.0237,4,4,4,0,amzn.to; gwern.net; www.youtube.com; x.com,2,
2025-10-11T22:01:52.916562+00:00,2025-10-11T22:01:52.949076+00:00,0.0325,4,4,4,0,amzn.to; gwern.net; www.youtube.com; x.com,2,
2025-10-11T22:03:39.835461+00:00,2025-10-11T22:03:39.857259+00:00,0.0216,4,4,4,0,amzn.to; gwern.net; www.youtube.com; x.com,2,
2025-10-11T22:05:58.766516+00:00,2025-10-11T22:05:58.787772+00:00,0.0213,4,4,4,0,amzn.to; gwern.net; www.youtube.com; x.com,2,
2025-10-11T22:09:27.988351+00:00,2025-10-11T22:09:28.020466+00:00,0.0321,4,4,4,0,amzn.to; gwern.net; www.youtube.com; x.com,2,
2025-10-11T22:42:30.729420+00:00,2025-10-11T22:42:30.774118+00:00,0.0447,4,4,4,0,amzn.to; gwern.net; www.youtube.com; x.com,2,
2025-10-11T22:48:34.977879+00:00,2025-10-11T22:48:34.999627+00:00,0.0217,4,4,4,0,amzn.to; gwern.net; www.youtube.com; x.com,2,
2025-10-11T23:57:35.057589+00:00,2025-10-11T23:57:35.087336+00:00,0.0297,4,4,4,0,amzn.to; gwern.net; www.youtube.com; x.com,2,
2025-10-12T01:20:11.806952+00:00,2025-10-12T01:20:11.832612+00:00,0.0257,2,2,2,0,www.youtube.com; youtu.be,2,
